id,title,status,release_date,revenue,production_companies,genres
27205,Inception,Released,2010-07-15,825532764,Warner Bros. Pictures,"Action, Science Fiction, Adventure"
155,The Dark Knight,Released,2008-07-16,1004558444,Warner Bros. Pictures,"Drama, Action, Crime, Thriller"
19995,Avatar,Released,2009-12-15,2923706026,20th Century Fox,"Action, Adventure, Fantasy, Science Fiction"
293660,Deadpool,Released,2016-02-09,783100000,20th Century Fox,"Action, Adventure, Comedy"
550,Fight Club,Released,1999-10-15,100853753,20th Century Fox,Drama
671,Harry Potter and the Philosopher's Stone,Released,2001-11-16,976475550,Warner Bros. Pictures,"Adventure, Fantasy"
603,The Matrix,Released,1999-03-30,463517383,Warner Bros. Pictures,"Action, Science Fiction"
597,Titanic,Released,1997-11-18,2264162353,20th Century Fox,"Drama, Romance"
475557,Joker,Released,2019-10-01,1074458282,Warner Bros. Pictures,"Crime, Thriller, Drama"
49026,The Dark Knight Rises,Released,2012-07-17,1081041287,Warner Bros. Pictures,"Action, Crime, Drama, Thriller"
76341,Mad Max: Fury Road,Released,2015-05-13,378858340,Warner Bros. Pictures,"Action, Adventure, Science Fiction"
672,Harry Potter and the Chamber of Secrets,Released,2002-11-13,876688482,Warner Bros. Pictures,"Adventure, Fantasy"
297761,Suicide Squad,Released,2016-08-03,746846894,Warner Bros. Pictures,"Action, Adventure, Fantasy"
673,Harry Potter and the Prisoner of Azkaban,Released,2004-05-31,789804554,Warner Bros. Pictures,"Adventure, Fantasy"
272,Batman Begins,Released,2005-06-10,374218673,Warner Bros. Pictures,"Action, Crime, Drama"
150540,Inside Out,Released,2015-06-09,857611174,Walt Disney Pictures,"Animation, Family, Adventure, Drama, Comedy"
674,Harry Potter and the Goblet of Fire,Released,2005-11-16,895921036,Warner Bros. Pictures,"Adventure, Fantasy"
22,Pirates of the Caribbean: The Curse of the Black Pearl,Released,2003-07-09,655011224,Walt Disney Pictures,"Adventure, Fantasy, Action"
12445,Harry Potter and the Deathly Hallows: Part 2,Released,2011-07-12,1341511219,Warner Bros. Pictures,"Fantasy, Adventure"
11,Star Wars,Released,1977-05-25,775398007,20th Century Fox,"Adventure, Action, Science Fiction"
675,Harry Potter and the Order of the Phoenix,Released,2007-07-08,938212738,Warner Bros. Pictures,"Adventure, Fantasy"
767,Harry Potter and the Half-Blood Prince,Released,2009-07-15,933959197,Warner Bros. Pictures,"Adventure, Fantasy"
263115,Logan,Released,2017-02-28,619021436,20th Century Fox,"Action, Drama, Science Fiction"
259316,Fantastic Beasts and Where to Find Them,Released,2016-11-16,809342332,Warner Bros. Pictures,"Fantasy, Adventure, Family"
12444,Harry Potter and the Deathly Hallows: Part 1,Released,2010-11-17,954305868,Warner Bros. Pictures,"Adventure, Fantasy"
354912,Coco,Released,2017-10-27,800526015,Walt Disney Pictures,"Family, Animation, Fantasy, Music, Comedy, Adventure"
10681,WALL·E,Released,2008-06-22,521311860,Walt Disney Pictures,"Animation, Family, Science Fiction"
210577,Gone Girl,Released,2014-10-01,369330363,20th Century Fox,"Mystery, Thriller, Drama"
49051,The Hobbit: An Unexpected Journey,Released,2012-12-12,1021103568,Warner Bros. Pictures,"Adventure, Fantasy, Action"
209112,Batman v Superman: Dawn of Justice,Released,2016-03-23,873637528,Warner Bros. Pictures,"Action, Adventure, Fantasy"
8587,The Lion King,Released,1994-06-24,763455561,Walt Disney Pictures,"Family, Animation, Drama"
9806,The Incredibles,Released,2004-10-27,631442092,Walt Disney Pictures,"Action, Adventure, Animation, Family"
383498,Deadpool 2,Released,2018-05-10,785896609,20th Century Fox,"Action, Comedy, Adventure"
694,The Shining,Released,1980-05-23,44781695,Warner Bros. Pictures,"Horror, Thriller"
424694,Bohemian Rhapsody,Released,2018-10-24,903992901,20th Century Fox,"Music, Drama, History"
497,The Green Mile,Released,1999-12-10,286801374,Warner Bros. Pictures,"Fantasy, Drama, Crime"
198663,The Maze Runner,Released,2014-09-10,348319861,20th Century Fox,"Action, Mystery, Science Fiction, Thriller"
18785,The Hangover,Released,2009-06-02,469310836,Warner Bros. Pictures,Comedy
2062,Ratatouille,Released,2007-06-28,623726000,Walt Disney Pictures,"Animation, Comedy, Family, Fantasy"
207703,Kingsman: The Secret Service,Released,2014-12-13,414351546,20th Century Fox,"Crime, Comedy, Action, Adventure"
109445,Frozen,Released,2013-11-20,1274219009,Walt Disney Pictures,"Animation, Family, Adventure, Fantasy"
374720,Dunkirk,Released,2017-07-19,527000000,Warner Bros. Pictures,"War, Action, Drama"
269149,Zootopia,Released,2016-02-11,1023784195,Walt Disney Pictures,"Animation, Adventure, Family, Comedy"
321612,Beauty and the Beast,Released,2017-03-16,1266115964,Walt Disney Pictures,"Family, Fantasy, Romance"
58,Pirates of the Caribbean: Dead Man's Chest,Released,2006-07-06,1065659812,Walt Disney Pictures,"Adventure, Fantasy, Action"
177572,Big Hero 6,Released,2014-10-24,657827828,Walt Disney Pictures,"Adventure, Family, Animation, Action, Comedy"
1124,The Prestige,Released,2006-10-19,109676311,Warner Bros. Pictures,"Drama, Mystery, Science Fiction"
6479,I Am Legend,Released,2007-12-12,585410052,Warner Bros. Pictures,"Drama, Science Fiction, Thriller"
49047,Gravity,Released,2013-10-03,723192705,Warner Bros. Pictures,"Science Fiction, Thriller, Drama"
127585,X-Men: Days of Future Past,Released,2014-05-15,747862775,20th Century Fox,"Action, Adventure, Science Fiction"
333339,Ready Player One,Released,2018-03-28,607274134,Warner Bros. Pictures,"Adventure, Action, Science Fiction"
49521,Man of Steel,Released,2013-06-12,668045518,Warner Bros. Pictures,"Action, Adventure, Science Fiction"
1422,The Departed,Released,2006-10-04,291465000,Warner Bros. Pictures,"Drama, Thriller, Crime"
10193,Toy Story 3,Released,2010-06-16,1066969703,Walt Disney Pictures,"Animation, Family, Comedy"
752,V for Vendetta,Released,2006-02-23,132511035,Warner Bros. Pictures,"Action, Thriller, Science Fiction"
152601,Her,Released,2013-12-18,47351251,Warner Bros. Pictures,"Romance, Science Fiction, Drama"
285,Pirates of the Caribbean: At World's End,Released,2007-05-19,961000000,Walt Disney Pictures,"Adventure, Fantasy, Action"
122917,The Hobbit: The Battle of the Five Armies,Released,2014-12-10,956019788,Warner Bros. Pictures,"Action, Adventure, Fantasy"
348,Alien,Released,1979-05-25,104931801,20th Century Fox,"Horror, Science Fiction"
10528,Sherlock Holmes,Released,2009-12-23,524028679,Warner Bros. Pictures,"Action, Adventure, Crime, Mystery"
12155,Alice in Wonderland,Released,2010-03-03,1025467110,Walt Disney Pictures,"Family, Fantasy, Adventure"
1865,Pirates of the Caribbean: On Stranger Tides,Released,2011-05-15,1045713802,Walt Disney Pictures,"Adventure, Action, Fantasy"
297802,Aquaman,Released,2018-12-07,1148528393,Warner Bros. Pictures,"Action, Adventure, Fantasy"
920,Cars,Released,2006-06-08,461983149,Walt Disney Pictures,"Animation, Adventure, Comedy, Family"
137113,Edge of Tomorrow,Released,2014-05-27,370541256,Warner Bros. Pictures,"Action, Science Fiction"
1271,300,Released,2007-03-07,456082343,Warner Bros. Pictures,"Action, Adventure, War"
78,Blade Runner,Released,1982-06-25,41722424,Warner Bros. Pictures,"Science Fiction, Drama, Thriller"
62177,Brave,Released,2012-06-21,538983207,Walt Disney Pictures,"Animation, Adventure, Comedy, Family, Action, Fantasy"
102651,Maleficent,Released,2014-05-28,758539785,Walt Disney Pictures,"Fantasy, Adventure, Action, Family, Romance"
335984,Blade Runner 2049,Released,2017-10-04,259239658,Warner Bros. Pictures,"Science Fiction, Drama"
425,Ice Age,Released,2002-03-10,383257136,20th Century Fox,"Animation, Comedy, Family, Adventure"
141052,Justice League,Released,2017-11-15,657926987,Warner Bros. Pictures,"Action, Adventure, Science Fiction"
57158,The Hobbit: The Desolation of Smaug,Released,2013-12-11,958400000,Warner Bros. Pictures,"Fantasy, Adventure, Action"
246655,X-Men: Apocalypse,Released,2016-05-18,543934787,20th Century Fox,"Action, Adventure, Science Fiction, Fantasy"
190859,American Sniper,Released,2014-12-25,542307423,Warner Bros. Pictures,"War, Action"
260513,Incredibles 2,Released,2018-06-14,1242805359,Walt Disney Pictures,"Action, Adventure, Animation, Family"
162,Edward Scissorhands,Released,1990-12-07,53000000,20th Century Fox,"Fantasy, Drama, Romance"
49538,X-Men: First Class,Released,2011-06-01,353624124,20th Century Fox,"Action, Science Fiction, Adventure"
185,A Clockwork Orange,Released,1971-12-19,26589000,Warner Bros. Pictures,"Science Fiction, Drama"
4922,The Curious Case of Benjamin Button,Released,2008-12-25,335802786,Warner Bros. Pictures,"Drama, Fantasy, Romance"
82690,Wreck-It Ralph,Released,2012-11-01,471222889,Walt Disney Pictures,"Family, Animation, Comedy, Adventure"
64682,The Great Gatsby,Released,2013-05-09,351040419,Warner Bros. Pictures,"Drama, Romance"
277834,Moana,Released,2016-10-13,690860472,Walt Disney Pictures,"Adventure, Comedy, Family, Animation"
127380,Finding Dory,Released,2016-06-16,1028570889,Walt Disney Pictures,"Adventure, Animation, Comedy, Family"
70981,Prometheus,Released,2012-05-30,403354469,20th Century Fox,"Science Fiction, Adventure, Mystery"
