id,revenue,decade,production_companies,top_genre_decade,top_genre_production
24099,12145169.0,1980,20th Century Fox,False,False
43471,2736400.0,1940,20th Century Fox,True,True
2661,3900000.0,1960,20th Century Fox,False,False
118908,2736400.0,1940,20th Century Fox,False,False
1152855,141383274.5,2000,20th Century Fox,False,False
2161,12000000.0,1960,20th Century Fox,False,False
165165,2736400.0,1940,20th Century Fox,False,False
9902,28650575.0,2000,20th Century Fox,False,False
237334,2736400.0,1940,20th Century Fox,True,True
20000,2736400.0,1940,20th Century Fox,False,False
52270,2736400.0,1940,20th Century Fox,False,False
116014,7754571.0,1980,20th Century Fox,True,True
25498,2736400.0,1940,20th Century Fox,True,True
36658,407711549.0,2000,20th Century Fox,False,False
108032,2736400.0,1940,20th Century Fox,False,False
26286,3000000.0,1940,20th Century Fox,True,True
21336,2736400.0,1940,20th Century Fox,True,True
375916,141383274.5,2000,20th Century Fox,False,False
490865,2736400.0,1940,20th Century Fox,True,True
5923,20000000.0,1960,20th Century Fox,True,True
247728,2736400.0,1940,20th Century Fox,True,True
241909,2736400.0,1940,20th Century Fox,True,True
61436,2736400.0,1940,20th Century Fox,True,True
9616,11560806.0,2000,20th Century Fox,False,True
29237,2736400.0,1940,20th Century Fox,True,True
4932,5000000.0,1960,20th Century Fox,False,False
261182,14427221.625,1960,20th Century Fox,False,False
8698,179265204.0,2000,20th Century Fox,False,False
464779,141383274.5,2000,20th Century Fox,True,False
254138,2736400.0,1940,20th Century Fox,True,True
149414,2736400.0,1940,20th Century Fox,False,False
242177,3712166.6666666665,1940,20th Century Fox,False,False
17963,110293402.1388889,2000,20th Century Fox,True,False
181537,3712166.6666666665,1940,20th Century Fox,False,False
18926,3712166.6666666665,1940,20th Century Fox,True,True
23728,14807337.8,1960,20th Century Fox,False,False
2103,30002758.0,2000,20th Century Fox,False,True
20481,8862354.0,1990,20th Century Fox,False,False
1840,3712166.6666666665,1940,20th Century Fox,False,False
39287,14807337.8,1960,20th Century Fox,False,False
18200,3712166.6666666665,1940,20th Century Fox,False,False
111042,3712166.6666666665,1940,20th Century Fox,False,False
1486488,3712166.6666666665,1940,20th Century Fox,False,False
445164,14807337.8,1960,20th Century Fox,False,False
1257696,3712166.6666666665,1940,20th Century Fox,False,False
12090,101564935.0,2000,20th Century Fox,True,False
9480,179179718.0,2000,20th Century Fox,False,False
242749,2736400.0,1940,20th Century Fox,True,True
36645,14807337.8,1960,20th Century Fox,False,False
19728,14807337.8,1960,20th Century Fox,True,True
56135,2736400.0,1940,20th Century Fox,True,True
60778,2346150.0,1990,20th Century Fox,True,False
3088,2750000.0,1940,20th Century Fox,True,True
113003,2736400.0,1940,20th Century Fox,False,False
129422,2736400.0,1940,20th Century Fox,False,False
3001,4400000.0,1960,20th Century Fox,False,False
24621,6126237.0,2000,20th Century Fox,True,False
13435,23367586.0,2000,20th Century Fox,False,True
45256,8000000.0,1960,20th Century Fox,False,False
8619,212011111.0,2000,20th Century Fox,False,True
249,160188546.0,1980,20th Century Fox,True,True
116755,2655944.4444444445,1940,20th Century Fox,True,True
254618,2655944.4444444445,1940,20th Century Fox,False,False
352719,2655944.4444444445,1940,20th Century Fox,False,False
259593,2655944.4444444445,1940,20th Century Fox,False,False
168380,14427221.625,1960,20th Century Fox,False,False
16081,9000000.0,1960,20th Century Fox,False,False
108205,2655944.4444444445,1940,20th Century Fox,False,False
58732,2655944.4444444445,1940,20th Century Fox,False,False
3055,50000000.0,1960,20th Century Fox,True,True
10591,31635150.0,2000,20th Century Fox,True,False
42321,2655944.4444444445,1940,20th Century Fox,True,True
342852,13537924.8,1960,20th Century Fox,False,False
18805,14427221.625,1960,20th Century Fox,True,True
469170,13537924.8,1960,20th Century Fox,False,False
77123,2655944.4444444445,1940,20th Century Fox,True,True
52827,2655944.4444444445,1940,20th Century Fox,True,True
435,552639571.0,2000,20th Century Fox,False,False
30177,2655944.4444444445,1940,20th Century Fox,True,True
10875,18428904.0,1980,20th Century Fox,True,True
8920,200804534.0,2000,20th Century Fox,True,False
35849,1798500.0,1940,20th Century Fox,False,False
9472,167722310.0,2000,20th Century Fox,True,False
3040,50336279.0,2000,20th Century Fox,False,False
2048,347234916.0,2000,20th Century Fox,False,False
85847,13537924.8,1960,20th Century Fox,False,False
42636,6500000.0,1960,20th Century Fox,True,True
871,32589624.0,1960,20th Century Fox,True,True
522357,2736400.0,1940,20th Century Fox,False,False
26204,14427221.625,1960,20th Century Fox,False,False
495172,162889622.15789473,2000,20th Century Fox,False,False
43472,2736400.0,1940,20th Century Fox,False,False
117394,2655944.4444444445,1940,20th Century Fox,False,False
17645,2655944.4444444445,1940,20th Century Fox,True,True
24130,11000000.0,1960,20th Century Fox,False,False
1792,65784503.0,2000,20th Century Fox,True,False
43537,2655944.4444444445,1940,20th Century Fox,False,False
27945,12000000.0,1960,20th Century Fox,False,False
26243,1500000.0,1940,20th Century Fox,False,False
107973,2655944.4444444445,1940,20th Century Fox,True,True
11007,190212113.0,2000,20th Century Fox,True,False
274773,162889622.15789473,2000,20th Century Fox,False,False
4886,1000000.0,1940,20th Century Fox,True,True
242621,2655944.4444444445,1940,20th Century Fox,True,True
520263,78746674.6521739,1980,20th Century Fox,False,False
42295,2500000.0,1940,20th Century Fox,True,True
27686,2655944.4444444445,1940,20th Century Fox,False,False
42702,14427221.625,1960,20th Century Fox,False,False
16784,14000000.0,2000,20th Century Fox,True,False
42407,1200000.0,1960,20th Century Fox,False,False
43915,14427221.625,1960,20th Century Fox,True,True
170568,2655944.4444444445,1940,20th Century Fox,True,True
32330,78746674.6521739,1980,20th Century Fox,True,False
117959,2655944.4444444445,1940,20th Century Fox,True,True
188116,2655944.4444444445,1940,20th Century Fox,True,True
142629,2655944.4444444445,1940,20th Century Fox,False,False
1483933,2655944.4444444445,1940,20th Century Fox,False,False
20483,16951702.0,2000,20th Century Fox,False,False
193310,1470009.0,1940,20th Century Fox,True,True
37964,27362712.0,2000,20th Century Fox,True,False
238913,3712166.6666666665,1940,20th Century Fox,True,True
9086,59000000.0,1990,20th Century Fox,False,False
131472,3626000.0,1940,20th Century Fox,True,True
143170,3626000.0,1940,20th Century Fox,False,False
380382,3626000.0,1940,20th Century Fox,False,False
315530,3626000.0,1940,20th Century Fox,False,False
201074,3626000.0,1940,20th Century Fox,False,False
62694,3626000.0,1940,20th Century Fox,True,True
824,179213434.0,2000,20th Century Fox,False,True
10808,176104344.0,2000,20th Century Fox,True,False
32560,21915360.5,1960,20th Century Fox,False,False
218212,3626000.0,1940,20th Century Fox,True,True
20362,3626000.0,1940,20th Century Fox,True,True
33115,3626000.0,1940,20th Century Fox,False,False
64158,21915360.5,1960,20th Century Fox,True,True
112705,3626000.0,1940,20th Century Fox,False,False
2140,64437847.0,2000,20th Century Fox,False,False
869,362211740.0,2000,20th Century Fox,False,False
52278,3626000.0,1940,20th Century Fox,False,False
9548,20423389.0,1990,20th Century Fox,True,False
52906,21915360.5,1960,20th Century Fox,False,False
155685,21915360.5,1960,20th Century Fox,False,False
10696,5271666.0,2000,20th Century Fox,False,True
546769,115729753.31428571,2000,20th Century Fox,False,False
36336,3626000.0,1940,20th Century Fox,True,True
10604,9000000.0,1960,20th Century Fox,True,True
12103,100020092.0,2000,20th Century Fox,False,False
30624,3626000.0,1940,20th Century Fox,True,True
36814,3626000.0,1940,20th Century Fox,True,True
59820,90233038.10714285,1990,20th Century Fox,False,True
20638,3626000.0,1940,20th Century Fox,False,False
53613,2684857.1428571427,1940,20th Century Fox,True,True
20003,2684857.1428571427,1940,20th Century Fox,True,True
111752,21915360.5,1960,20th Century Fox,True,True
